*author: ADAMCZYK
*reference: PRL 114,022301 : 2015
*reference: ARXIV:1408.4360 : 2014
*doi: 10.1103/PhysRevLett.114.022301
*status: Encoded 01 JUN 2016 by Nickolas Luttrell (Rice University)
*title: The $\Lambda\Lambda$ Correlation Function in Au+Au collisions at $\sqrt{s_{NN}}=$ 200 GeV
*comment: BNL-RHIC.  We present $\Lambda\Lambda$ correlation measurements in heavy-ion collisions for Au+Au collisions at $\sqrt{s_{NN}}= 200$ GeV using the STAR experiment at the Relativistic Heavy-Ion Collider (RHIC). The Lednick$\acute{y}$-Lyuboshitz analytical model has been used to fit the data to obtain a source size, a scattering length and an effective range. Implications of the measurement of the $\Lambda\Lambda$ correlation function and interaction parameters for di-hyperon searches are discussed
*durhamId:
*inspireId: 1311513
*cdsId: 1750864
*detector: STAR
*experiment: BNL-RHIC-STAR

*dataset:
*location: Figure 1
*dscomment: The invariant mass distribution for $\Lambda$ and $\bar{\Lambda}$ produced in Au+Au collisions at $\sqrt{s_{NN}}$ = 200 GeV, for 0-80% centrality. The $\Lambda$ and $\bar{\Lambda}$ candidates lying in the mass range 1.112 to 1.120 GeV/c^2 were selected for the correlation measurement.
*obskey: MASS
*reackey: AU AU --> LAMBDA ALAMBDA X
*qual: SQRT(S) IN GEV:  200
*xheader: MASS IN GEV/C^2
*yheader: Counts
*qual: .: Lambda: AntiLambda
*data: x: y: y
1.08062; 30948.0 +- 175.92; 24748.0 +- 157.315; 
1.08104; 33041.0 +- 181.772; 25924.0 +- 161.009; 
1.08146; 35353.0 +- 188.024; 28132.0 +- 167.726; 
1.08187; 38694.0 +- 196.708; 30690.0 +- 175.186; 
1.08229; 41912.0 +- 204.724; 33370.0 +- 182.675; 
1.08271; 45447.0 +- 213.183; 36675.0 +- 191.507; 
1.08313; 48895.0 +- 221.122; 39475.0 +- 198.683; 
1.08354; 52297.0 +- 228.685; 42591.0 +- 206.376; 
1.08396; 55766.0 +- 236.148; 45879.0 +- 214.194; 
1.08438; 58803.0 +- 242.493; 48454.0 +- 220.123; 
1.08479; 62340.0 +- 249.68; 51889.0 +- 227.792; 
1.08521; 65117.0 +- 255.18; 54487.0 +- 233.425; 
1.08563; 68358.0 +- 261.454; 56854.0 +- 238.441; 
1.08604; 71524.0 +- 267.44; 59151.0 +- 243.21; 
1.08646; 73549.0 +- 271.199; 61518.0 +- 248.028; 
1.08688; 76254.0 +- 276.141; 64247.0 +- 253.47; 
1.08729; 78166.0 +- 279.582; 65883.0 +- 256.677; 
1.08771; 81248.0 +- 285.04; 67790.0 +- 260.365; 
1.08813; 82817.0 +- 287.779; 70244.0 +- 265.036; 
1.08854; 85070.0 +- 291.668; 71631.0 +- 267.64; 
1.08896; 87422.0 +- 295.672; 74038.0 +- 272.099; 
1.08937; 89238.0 +- 298.727; 75116.0 +- 274.073; 
1.08979; 91349.0 +- 302.24; 77741.0 +- 278.821; 
